dtype,enzyme,model,scaler,split,tp,fp,tn,fn,val_accuracy,val_precision,val_recall,val_f1,auc,mcc,val_loss,train_time,prediction_time,C,degree,kernel
PC,IN,svc,std,3,80,5,1280,983,0.5792163543441227,0.9411764705882353,0.07525870178739416,0.13937282229965156,0.5356838256018683,0.19018132117931266,15.16657987582953,0.09474921226501465,0.12566423416137695,0.2,3,poly
PC,IN,svc,std,3,663,107,1178,400,0.7840715502555367,0.861038961038961,0.6237064910630291,0.723404255319149,0.7702190042863784,0.5730139818022302,7.7828501994388395,0.09574437141418457,0.3390946388244629,0.2,3,rbf
PC,IN,svc,std,3,508,288,997,555,0.6409710391822828,0.6381909547738693,0.477892756349953,0.5465303926842389,0.6268841213656381,0.2668413173948526,12.940715420368722,0.08975696563720703,0.13363885879516602,0.2,3,sigmoid
PC,IN,svc,std,3,79,4,1281,984,0.5792163543441227,0.9518072289156626,0.07431796801505174,0.13787085514834205,0.5356025637740628,0.19193594506840025,15.16657987582953,0.09374308586120605,0.1296553611755371,0.2,4,poly
PC,IN,svc,std,3,663,107,1178,400,0.7840715502555367,0.861038961038961,0.6237064910630291,0.723404255319149,0.7702190042863784,0.5730139818022302,7.7828501994388395,0.09574747085571289,0.33707141876220703,0.2,4,rbf
PC,IN,svc,std,3,508,288,997,555,0.6409710391822828,0.6381909547738693,0.477892756349953,0.5465303926842389,0.6268841213656381,0.2668413173948526,12.940715420368722,0.08876323699951172,0.1326453685760498,0.2,4,sigmoid
PC,IN,svc,std,3,83,5,1280,980,0.5804940374787053,0.9431818181818182,0.07808090310442145,0.14422241529105126,0.5370949262603819,0.19443173348657874,15.120527507785514,0.08979296684265137,0.13164877891540527,0.2,5,poly
PC,IN,svc,std,3,663,107,1178,400,0.7840715502555367,0.861038961038961,0.6237064910630291,0.723404255319149,0.7702190042863784,0.5730139818022302,7.7828501994388395,0.09573864936828613,0.3371279239654541,0.2,5,rbf
PC,IN,svc,std,3,508,288,997,555,0.6409710391822828,0.6381909547738693,0.477892756349953,0.5465303926842389,0.6268841213656381,0.2668413173948526,12.940715420368722,0.0907282829284668,0.13164734840393066,0.2,5,sigmoid
PC,IN,svc,std,3,84,5,1280,979,0.5809199318568995,0.9438202247191011,0.07902163687676388,0.14583333333333334,0.5375652931465531,0.19583118651257964,15.105176718437509,0.09072542190551758,0.12762904167175293,1.0,3,poly
PC,IN,svc,std,3,768,115,1170,295,0.8253833049403748,0.869762174405436,0.7224835371589841,0.789311408016444,0.8164946868674297,0.6504522964926142,6.293823632682297,0.08480429649353027,0.27925682067871094,1.0,3,rbf
PC,IN,svc,std,3,562,457,828,501,0.5919931856899489,0.5515210991167812,0.528692380056444,0.5398655139289145,0.5865251783550702,0.17379653453696384,14.706056195389369,0.06881880760192871,0.09976053237915039,1.0,3,sigmoid
PC,IN,svc,std,3,83,2,1283,980,0.5817717206132879,0.9764705882352941,0.07808090310442145,0.1445993031358885,0.5382622414354792,0.20392330431915037,15.074475139741498,0.09575223922729492,0.12868356704711914,1.0,4,poly
PC,IN,svc,std,3,768,115,1170,295,0.8253833049403748,0.869762174405436,0.7224835371589841,0.789311408016444,0.8164946868674297,0.6504522964926142,6.293823632682297,0.08480405807495117,0.2782270908355713,1.0,4,rbf
PC,IN,svc,std,3,562,457,828,501,0.5919931856899489,0.5515210991167812,0.528692380056444,0.5398655139289145,0.5865251783550702,0.17379653453696384,14.706056195389369,0.0678248405456543,0.10070252418518066,1.0,4,sigmoid
PC,IN,svc,std,3,85,2,1283,978,0.5826235093696763,0.9770114942528736,0.0799623706491063,0.14782608695652175,0.5392029752078217,0.20661284230778332,15.043773561045485,0.09475469589233398,0.1296536922454834,1.0,5,poly
PC,IN,svc,std,3,768,115,1170,295,0.8253833049403748,0.869762174405436,0.7224835371589841,0.789311408016444,0.8164946868674297,0.6504522964926142,6.293823632682297,0.08378791809082031,0.2812473773956299,1.0,5,rbf
PC,IN,svc,std,3,562,457,828,501,0.5919931856899489,0.5515210991167812,0.528692380056444,0.5398655139289145,0.5865251783550702,0.17379653453696384,14.706056195389369,0.06982898712158203,0.09873533248901367,1.0,5,sigmoid
PC,IN,svc,std,3,98,4,1281,965,0.5873083475298126,0.9607843137254902,0.09219190968955786,0.1682403433476395,0.5445395346113159,0.21751484631056772,14.874914878217423,0.09174513816833496,0.12566471099853516,2.0,3,poly
PC,IN,svc,std,3,818,134,1151,245,0.8385860306643952,0.8592436974789915,0.7695202257761053,0.8119106699751861,0.832620035067041,0.6744277219974413,5.817949162894124,0.08277487754821777,0.26928043365478516,2.0,3,rbf
PC,IN,svc,std,3,584,484,801,479,0.5898637137989778,0.5468164794007491,0.5493885230479775,0.5480994838104176,0.5863674132749614,0.17266626436843105,14.782810142129394,0.06681275367736816,0.09674072265625,2.0,3,sigmoid
PC,IN,svc,std,3,91,2,1283,972,0.5851788756388415,0.978494623655914,0.08560677328316087,0.157439446366782,0.5420251765248489,0.214507751578181,14.951668824957457,0.09970593452453613,0.12868404388427734,2.0,4,poly
PC,IN,svc,std,3,818,134,1151,245,0.8385860306643952,0.8592436974789915,0.7695202257761053,0.8119106699751861,0.832620035067041,0.6744277219974413,5.817949162894124,0.08377742767333984,0.26931262016296387,2.0,4,rbf
PC,IN,svc,std,3,584,484,801,479,0.5898637137989778,0.5468164794007491,0.5493885230479775,0.5480994838104176,0.5863674132749614,0.17266626436843105,14.782810142129394,0.06479787826538086,0.09474897384643555,2.0,4,sigmoid
PC,IN,svc,std,3,92,4,1281,971,0.5847529812606473,0.9583333333333334,0.08654750705550329,0.15875754961173424,0.5417173332942886,0.20972244939638598,14.967019614305457,0.09774112701416016,0.12865424156188965,2.0,5,poly
